id,feel,feel_category
7938db69-1f5b-4148-8659-c699d7c40eb1,听着风与树叶的合奏，让我感觉很平静,平静/放松
7c180b5a-0d1b-4ee3-887e-53b25ed1d832,平静,平静/放松
7dff2f5f-f6c1-43fe-9d57-b75681cdb40a,期待，开心，马上要吃晚饭了,愉悦/满足
7f04870a-5db4-419b-93f8-68194d685a47,平静，鸟叫声让我感觉它们很有活力，让人不自觉放松下来,平静/放松
84a30cf1-bf7b-4445-a284-c5d11cb8f11f,,
87169f57-b206-4c06-aefd-3451a21ff803,温度湿度适宜，很适合散步，心情愉快,感慨/联想
87676bb8-b1b8-466e-84c7-5e626b88d7f4,开心，日常的感觉,愉悦/满足
8871cf7a-ae49-4361-b3ef-12408dd7cebe,omg晚上晴了一会居然又下大雨了😭,烦躁/压抑
8cab7c39-30a0-4d15-a24e-6197ccb6abcc,忧郁，有淡淡的焦虑,焦虑/紧张
926f0787-328e-4f0d-8f7e-60249ea312df,好想下班,烦躁/压抑
973eedbd-156a-4927-94c1-55a53be33137,小区,
97bb4be6-64cf-450f-916c-fc1ff47d753d,平静开心,愉悦/满足
9996d64b-c366-4142-b3a1-b2f1e477c7c4,嘈杂，烦躁,烦躁/压抑
999a1de4-aac9-4ebc-ac3c-c4461163b52f,宁静，惬意，放松,平静/放松
9a3bdf9b-a061-4667-afdc-85e40060469b,纯粹的快乐,愉悦/满足
9c70a7eb-3aac-40e3-a850-b20990e63e78,很渴刚在外面逛完进入到室内急需一杯咖啡,
9ea31263-d5d5-4887-a100-79158ac9bdc2,雨后的城市又恢复了活力,热闹/有生机
a29a01f4-30a8-4bf4-8f67-06beb53a3e37,因为是高峰期人很多挨在一起，烦躁又无奈，还有点紧张,焦虑/紧张
a53c76e8-ce78-4eb1-a255-24134f6764d5,忙碌 不停歇,热闹/有生机
a626126e-b902-49e1-9d3d-d289320718fc,平静,平静/放松
a820d949-63a6-4416-abe9-ae2722427839,,
a85c6544-0c36-408a-8338-5a42f6c1e39b,主要是汽车驶过刚刚下完雨的马路的的声音,
ab17abce-79a4-4311-9d2c-739b85bc66b1,来来往往,
abca6891-0f4d-4ce2-8b43-50b108976eae,比较平静，这就是城市里最普遍的声音,平静/放松
af6666e6-d943-4999-bf85-05fe6f9304cb,作为志愿者的责任感，为他人服务所获得的正,感慨/联想
b1281622-f697-4250-a021-45136065d72f,月台在我心里代表宏大叙事的离别,感慨/联想
b1395340-ee3c-4bcc-a4dd-f8dd3bd5b60c,匠心读韵与浑然天成的共生 熟悉的苏州方言,感慨/联想
b45733db-7bd1-4db3-9417-95b990e506b4,奇妙的,感慨/联想
b92dbe55-f150-4bb8-a076-f96836b732f4,平静,平静/放松
bd415af0-3eea-422e-ad49-317abe672ddf,感受到放松 怅然若失的疲惫 安心的懈怠,感慨/联想
bd6bce03-cda3-4362-9380-17fb03af9f6f,思考,感慨/联想
be4f3fe4-ed6d-4f33-8861-19cb26335114,,
bed6a7d6-40f2-4a94-a9db-1739e44e629f,神清气爽 咖啡香混着茶香,愉悦/满足
bf07f36a-5f41-4374-906b-6402aad5a43c,这个声音和单独听雨声的不一样，会舒服一点,平静/放松
bf90eace-0b26-4b04-8ee4-ab1627de324b,非常愤怒和觉得可笑，感到本来很好的气氛可以休息的环境完全被打破了很烦躁,烦躁/压抑
c2372fa9-4f8a-4ace-a26c-e61d4476de5c,,
c2d03b0c-44bd-4f16-9a73-5805a3231cd3,放松，但觉得循环播放的广告有些吵闹,烦躁/压抑
c45fd8ef-3c90-405a-aa24-64b3df915f65,开心，刚考完试，很轻松,愉悦/满足
c5041f77-7ba0-4387-8057-136bd1da7322,等待吃饭，还想吃点零食解解烦,烦躁/压抑
c58a28e2-9a64-424c-8e8f-5995835f1016,嘈杂,烦躁/压抑
c7beeee4-648d-4b43-8b69-770fd1dd84d4,噪音持续了很久，我开始有点frustrated,烦躁/压抑
c7c6bcbc-e94f-4ed7-8edd-296b607fab44,治愈宁静,平静/放松
c964e8ed-5e0b-43d6-84a8-c06cf8b9ba63,每天都会路过听到的声音里面还有小鱼周边有,
cddea1ab-363f-4475-82d7-7b0cfbf2b88d,在城市里感受着烟火气,热闹/有生机
ce127f36-93b9-48fe-86be-dc8b98bcc99f,喂猫,
cec3dcd7-6c88-4f86-9a77-ed8d6c458144,没什么感受,感慨/联想
cf096fe2-7eb0-461a-9acd-9ace2b5ee59c,平静，又有些焦虑，需要复习但是不想复习,焦虑/紧张
d02bd62c-371f-4c9f-af74-f947bd784e02,,
d0350311-e6b1-4b83-a6ee-691df2c54f6a,,
d0f186d1-86cb-43f7-aa6b-9f36d3369ffb,,
d120bd99-d2f3-40c2-abf2-df4a5bb8e724,,
d1398b04-e2ae-4446-a032-1faa925894d7,,
d1a5c876-ddf9-4b73-a526-071663b5aec3,无,
d1f9dd8e-6b11-4be3-a7e5-c9d0211c9144,小区,
d2fa702f-c915-4267-9313-5469cb897a50,这就是平常的通勤路,
d360ca98-fcac-4b4f-85ed-e0b53335bd8f,,
d467a5e9-8e79-4877-8733-78f61a161121,很无奈，并有点stressful，感觉很吵闹让人无法认真思考,烦躁/压抑
d4ef6380-5b47-4aae-a43a-213cd5a1b3fa,闷热雨天到舒适的感觉,平静/放松
d6f3f97c-ef21-4237-95d2-bd2896fe21ce,不太好，要干活的声音,烦躁/压抑
d8a9eb9f-cb2d-4f9a-8d09-ae7fe8a16041,愉悦，富有食欲😆,愉悦/满足
d95706aa-fae5-4552-b60d-33f0eedca015,治愈，节奏慢下来的感受,平静/放松
d9ca4353-0465-41ff-b84f-e25e5ce22ab2,城市被大雨打乱节奏时感觉到的自由,感慨/联想
da6e25ac-1241-441f-aa84-ac8ddd45a79c,依然没啥波澜,平静/放松
dc0be610-a061-42bd-bc3d-aef8e729e9bb,休息日的休闲回忆童年时光,感慨/联想
dcf45c7e-8e90-492c-8a24-bda4f3a146e7,小区,
df1a9fe6-0ba5-40b2-bdaf-86f1555271a6,舒服放松,平静/放松
df50f52a-1e4f-4ff8-a415-302655373cd7,焦急 隆隆的一切 不安,焦虑/紧张
e1a15fe8-d28e-43af-824c-100251ceea74,晚安,
e38ba834-1f7a-45ca-ad2b-228041b08da3,,
e48a45ee-5bf6-43e0-80c8-5c040c2bca22,满足,愉悦/满足
e7fc02dc-c388-44db-8401-023985ef44e2,治愈，放松,平静/放松
e818adb6-6d78-482a-b7e5-1eb9b2cd5776,深夜这座城市已经入眠走在街道上聆听自然,平静/放松
e8624a3e-6e73-447b-841b-13fba780c62b,郁闷，鞋子湿透了,烦躁/压抑
e86367aa-0a88-4b1e-9c6c-f65d5652b47d,,
e8a7d40d-603d-49af-a83f-8ee21cf2897d,test,
e9001c0b-b6d2-42c3-b697-92bcca1181a2,非常惬意，感觉很舒适,平静/放松
eac84786-00ca-4135-89ec-0df62b35a8a3,心里很乱，很难受,烦躁/压抑
eae19d29-208a-4ef2-b580-7d5b060d353e,平静，有点困,平静/放松
ebda9fb4-14fa-45c0-a6dc-ce0d5aa84383,观鱼池的设计让园林更有生命力静观水波流转,感慨/联想
ee5a34c6-7fe3-4dc5-8a17-a8c08668bd03,平静，但空调还是有点吵,烦躁/压抑
f26ba0ed-b304-4f96-bd04-59b8e366a8cb,隔壁老登邻居听到这么重的脚步声会不会很抓狂,烦躁/压抑
f64df670-6c29-491c-b92c-0611e34145ee,应该没有什么我用的上的,
f8055809-ee9a-44c2-8dda-4ef5ae45c110,很烦躁，因为要被迫听手机视频外放的声音。很多人都在看，明明不要外放的标识很明显，广播也循环播放，手机短视频所以公众认知能力和感知力的负面影响都令我很担忧。,烦躁/压抑
f9e7248c-6ee0-4138-8c54-5ffb66ef7a3c,很平静吧,平静/放松
fa502683-4b40-4e74-b273-4ac9b4280c21,清静、闲凉,平静/放松
fd36d005-4e8a-4985-8d2f-97515eac4eb3,轻松愉悦，富有食欲,愉悦/满足
fd370b05-2694-4716-86b3-115547e33d41,清醒 自在,平静/放松
ff7367af-fca8-468c-9222-bac86ba5c1c1,开心，马上要吃到好吃的了,愉悦/满足
import_09_20266152025_a20260615-02,雨滴和明亮便捷的书柜让我感到非常愉悦和平和，但同时旁边的手机视频外放让我觉得又烦躁又讽刺，很煞风景的遗憾感觉。,烦躁/压抑
import_8_20266151725_a806151725,清冷,感慨/联想
import_8_20266182219_a82606182219,惬意,平静/放松
import_8_2026618441_a82606180441,平静,平静/放松
import_8_20266191611_a82606191611,着急,焦虑/紧张
import_8_20266202032_a82606202032,幸福 激动（因为bgm是我很喜欢的歌手唱的）,愉悦/满足
import_8_20266212033_a82606212033,超级放松,平静/放松
import_8_20266221936_a82606221936,细碎的安稳,平静/放松
