src,bgc,audio,describ,title,user,city,day,time,date,tag,feel
/asset/dummy/carol/carol-4-1.jpg,/asset/dummy/carol/carol-4-1.jpg,/asset/dummy/carol/carol-4-1.mp3,An old radio plays Cantonese pop from a repair shop doorway. The song fades as I pass.,Shop Window Radio,carol,shenzhen,4,16:48,05-04,Commercial space,nostalgic
/asset/dummy/alice/alice-5-1.jpg,/asset/dummy/alice/alice-5-1.jpg,/asset/dummy/alice/alice-5-1.mp3,Rooftop at dusk — wind shifts direction and the city's noise rises and falls like breathing.,Rooftop Wind,alice,suzhou,5,18:20,05-05,Open space,melancholic
/asset/dummy/bob/bob-5-1.jpg,/asset/dummy/bob/bob-5-1.jpg,/asset/dummy/bob/bob-5-1.mp3,"The street sweeper comes through at midnight — bristles on asphalt, warning beeps, then silence again.",Midnight Sweeper,bob,shenzhen,5,00:12,05-05,Commercial space,melancholic
/asset/dummy/bob/bob-5-1.jpg,/asset/dummy/bob/bob-5-1.jpg,/asset/dummy/bob/bob-5-1.mp3,"Metro platform at peak hour: a wall of sound when the train arrives, then sudden vacuum as it leaves.",Metro Platform Rush,bob,shenzhen,5,17:48,05-05,On the way,rushed
/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.mp3,"Market closing time — vendors stack crates, unsold fish packed in ice, generators switched off one by one.",Market Closing,carol,shenzhen,5,20:00,05-05,Commercial space,tired
/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.mp3,"A dog barking deep in an alley — persistent, answered by nothing. Then a door, then quiet.",Dog in Alley,carol,suzhou,5,22:33,05-05,Open space,melancholic
/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.jpg,/asset/dummy/carol/carol-5-1.mp3,Inside an old building: water moving through pipes in the walls — a buried sound like digestion.,Pipes in Old Building,carol,shenzhen,5,23:47,05-05,Historical place,curious
/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.mp3,"Morning tai chi in the park — soft counting, breath, the occasional bird. No urgency.",Tai Chi in Park,alice,suzhou,6,06:30,05-06,Historical place,peaceful
/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.mp3,Garbage truck and morning street noise arriving together — the city starting its maintenance routine.,Morning Garbage Round,alice,suzhou,6,07:50,05-06,Historical place,tired
/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.jpg,/asset/dummy/alice/alice-6-1.mp3,"A traditional opera rehearsal leaking through a community center wall — percussion first, then voice.",Opera Rehearsal,alice,suzhou,6,19:15,05-06,Historical place,curious
/asset/dummy/bob/bob-6-1.jpg,/asset/dummy/bob/bob-6-1.jpg,/asset/dummy/bob/bob-6-1.mp3,Botanical garden waterfall — steady white noise that cuts off all city sound. A small acoustic island.,Botanical Garden Waterfall,bob,shenzhen,6,10:40,05-06,Open space,peaceful
/asset/dummy/carol/carol-6-1.jpg,/asset/dummy/carol/carol-6-1.jpg,/asset/dummy/carol/carol-6-1.mp3,Underground passage: footsteps multiply and smear into continuous echo. Voices sound like they come from further away.,Underground Echo,carol,shenzhen,6,13:05,05-06,Historical place,curious
/asset/dummy/alice/alice-7-1.jpg,/asset/dummy/alice/alice-7-1.jpg,/asset/dummy/alice/alice-7-1.mp3,"Sunday street market: dense, overlapping, cheerful — the loudest the city gets without being aggressive.",Sunday Market,alice,shenzhen,7,09:00,05-07,Commercial space,cheerful
/asset/dummy/alice/alice-7-1.jpg,/asset/dummy/alice/alice-7-1.jpg,/asset/dummy/alice/alice-7-1.mp3,"Afternoon thunderstorm — thunder rolling in from the west, rain arriving all at once, traffic stopping.",Afternoon Storm,alice,suzhou,7,15:37,05-07,Open space,overwhelmed
/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.mp3,"Evening riverside: the crowd is thick and the sound is too — food, laughter, a tour boat's engine.",Evening Riverside,bob,shenzhen,7,19:00,05-07,Open space,cheerful
/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.mp3,"Fireworks heard but not seen — muffled booms from somewhere across the river, syncopated.",Distant Fireworks,bob,shenzhen,7,21:15,05-07,Historical place,curious
/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.jpg,/asset/dummy/bob/bob-7-1.mp3,"Last bus arriving — hydraulic hiss of the doors, the driver's radio playing quietly, passengers boarding in silence.",Night Bus Arriving,bob,suzhou,7,23:05,05-07,On the way,still
/asset/dummy/carol/carol-7-1.jpg,/asset/dummy/carol/carol-7-1.jpg,/asset/dummy/carol/carol-7-1.mp3,"From the balcony: the city as one continuous sound — no single source, just the hum of everything together.",Balcony Soundscape,carol,suzhou,7,20:30,05-07,Open space,melancholic
/asset/dummy/carol/carol-7-1.jpg,/asset/dummy/carol/carol-7-1.jpg,/asset/dummy/carol/carol-7-1.mp3,"Restaurant kitchen at full speed — orders called, metal on metal, the extractor fan above everything.",Restaurant Kitchen,carol,shenzhen,7,12:00,05-07,Commercial space,hungry
/public/users/马/ma1.jpeg,/public/users/马/ma1.jpeg,/public/users/马/ma1.webm,"Early morning along the canal — water lapping at stone steps, a barge engine idling in the mist.",Canal Morning Walk,马,suzhou,1,07:30,05-01,On the way,rushed
/public/users/马/ma2.jpeg,/public/users/马/ma2.jpeg,/public/users/马/ma2.webm,"Inside the classical garden: wind through bamboo, a distant flute, footsteps on gravel that slow without reason.",Garden Silence,马,suzhou,2,10:15,05-02,Open space,peaceful
/public/users/马/ma3.jpeg,/public/users/马/ma3.jpeg,/public/users/马/ma3.webm,"Ping Jiang Road at midday — vendors calling prices, the clack of mahjong tiles from an open doorway, a delivery bike bell.",Old Street Market,马,suzhou,3,13:40,05-03,Commercial space,curious
/public/users/马/ma4.jpeg,/public/users/马/ma4.jpeg,/public/users/马/ma4.webm,The evening bell at Cold Mountain Temple rolls across the water three times. The crowd falls quiet before it fades.,Temple Bell Evening,马,suzhou,5,19:00,05-05,Historical place,nostalgic
/public/users/马/ma5.jpeg,/public/users/马/ma5.jpeg,/public/users/马/ma5.webm,"Lakeside before the tourists arrive — breathing, soft footfall, the heron landing without a sound.",Tai Chi by the Water,马,suzhou,7,08:00,05-07,Open space,still
